 O III     3004.35    8 2    10           A119      4.
 ClII      3004.39   17 1    22           A195     10.
 CrII      3004.47   24 1    88           A184      3.
 FeI       3004.48   26 0 P  105                       sol
 FeIII     3004.490  26 2    41           B102      1.
 FeI       3004.62   26 0    57           W171      1. :
 LaII      3004.68   57 1                 A258      5. n
 V I       3004.824  23 0    47           C245     10.
 CrI       3005.057  24 0    28           C245     25. r
 GdII      3005.092  64 1                 A225    300.
 ArIII     3005.1    18 2 F  2                                 40.8
 Y I       3005.26   39 0    9            A254     12.
 FeI       3005.302  26 0    199          G 59      3.
 ZrI       3005.36   40 0    38           A197     40.
 ZrI       3005.50   40 0    60           A197     60.
 O II      3005.62    8 1                 B118      2.         35.00
 CoI       3005.766  27 0    77           A 56      3.
 V II      3005.813  23 1    86           A266     50.
 Y II      3006.0    39 1    54           A254      2. nl
 O II      3006.04    8 1                 B118      2.
 ClII      3006.05   17 1    22           A195     20.
 FeIII     3006.122  26 2    21           A103      4.
 V I       3006.24   23 0    116          F213      5. N
 V I       3006.35   23 0    75           C245      6.
 V II      3006.502  23 1    141          A266     20.
 O II      3006.82    8 1                 B118      3.
 CaI       3006.858  20 0    17           A403      6.
 N II      3006.86    7 1    18           C120      7.         29.49
 V I       3006.90   23 0    116          F213      5. N
 FeIII     3006.95   26 2 P  21                        mFeIII
 ClII      3006.98   17 1    53           A195     20.
 V II      3007.035  23 1    141          A266      1.
 NaII      3007.071  11 1    12           A130      5.
 O II      3007.08    8 1    74           B118      3.
 FeI       3007.146  26 0    55           V 55      8.
 FeIII     3007.2    26 2    116          A103     20. wn
 FeI       3007.284  26 0    11           V 55     12. r
 V II      3007.296  23 1    27           A266     15.
 LaII      3007.32   57 1    102          A258      5.
 NaII      3007.442  11 1    1            A130      4.
 TiI       3007.487  22 0                 E245      4. N
 MnI       3007.655  25 0    35           B245      6.          7.40
 O II      3007.74    8 1    74           C301      3. dd
 FeI       3007.75   26 0 P  262                       sol
 FeIII     3007.802  26 2    10           A103      6.
 NdII      3007.975  60 1                 B245     50.
 ZrII      3008.13   40 1    86           A196      3.
 FeI       3008.139  26 0    9            G 59     60. R
 MnI       3008.265  25 0    35           B245      4.
 O II      3008.28    8 1    74           B118      1.
 TiII      3008.322  22 1    85           C245      2.
 TiIII     3008.4    22 2 F  5                                 27.6
 FeIII     3008.506  26 2    9            A103      5.
 V II      3008.508  23 1    141          A266     15.
 V II      3008.610  23 1    26           A266     70.
 CrII      3008.67   24 1    75           A184      3.
 CeII      3008.789  58 1    122          A144    125.
 O III     3008.79    8 2    10           A119      3.
 RhII      3008.996  45 1    4            A150    200.
 FeI       3009.098  26 0    198          V 55      3.
 SnI       3009.136  50 0    1            A265    700. R        7.30
 NaII      3009.138  11 1    13           A130      4.
 CaI       3009.205  20 0    17           A403      5.
 GdII      3009.366  64 1    25           A225     60.
 FeI       3009.570  26 0    30           C278     25. r
 GdII      3009.650  64 1    27           A225    150.
 ZrII      3009.85   40 1    64           A196      2.
 FeIII     3009.998  26 2    41           B102      1.
 GdII      3010.129  64 1    12           A225   8000.
 FeII      3010.220  26 1    181          A 76      1.
 ZrII      3010.28   40 1    39           A196      2. wl
 TiI       3010.42   22 0 P  170
 W II      3010.76   74 1    14           A239    100.
 CuI       3010.838  29 0    3            A 58    100.
 GdII      3010.899  64 1    42           A225    250.
 FeIII     3011.060  26 2    31           B102      1.
 MnI       3011.162  25 0    35           B245      5.
 HfII      3011.24   72 1    64           A289     20.
 MnI       3011.376  25 0    35           B245      5.
 CrII      3011.42   24 1    27           A184      7.
 FeI       3011.482  26 0    316          G 59      7.
 ZrI       3011.73   40 0    22           A197    250.
 NiI       3012.004  28 0    41           B245     75. R
 CrII      3012.01   24 1    87           A184      1.
 V II      3012.020  23 1    43           A266     30.
 GdII      3012.190  64 1    29           A225    600.
 CrII      3012.34   24 1    42           A184      2.
 FeII      3012.59   26 1 P  138
 FeIII     3012.847  26 2    10           B102      2.
 HfII      3012.90   72 1    4            A289    100.
 CrI       3013.030  24 0    26           C245     15.
 V II      3013.102  23 1    26           A266     80.
 FeIII     3013.125  26 2    9            A103     20.
 ZrII      3013.32   40 1    27           A196      8.
 O II      3013.37    8 1    56           B118      3.
 FeII      3013.38   26 1 P  138
 CoI       3013.592  27 0    10           A 56      8.
 ZrII      3013.66   40 1    52           A196      0.
 CrI       3013.713  24 0    26           C245     20. r
 FeII      3013.802  26 1    124          A 76      0.
 FeI       3014.120  26 0    458          S 77      0. :
 NdII      3014.165  60 1                 B245     60.
 FeI       3014.176  26 0    31           V 55      3.
 V I       3014.37   23 0    116          C245     15. N
 ZrI       3014.44   40 0    21           A197     15.
