FeI       3799.549  (  21)[B50] {F0V-K3II;G0Ib-K3Iab}
HeI       3805.765  (  63)[D(1)] {O9-B9V;O9Ib-B9Ia}
SiIII     3806.56   (   5)[A5] {O9V-B9Ia}
NiI       3807.144  (  33)[B35r] {G0V-K3II;G0-K3Iab}
FeI       3807.534  (  73)[G7] {A4V-K0II;A0-G0Ib;A0-G0Ia}
FeI       3812.964  (  22)[G40] {K0-K5V;K5-M2III;A0Ib-G0Ia}
FeII      3814.121  ( 153)[A4] {A0III-F8II;A0-F8Ib;A0-F8Ia}
TiII      3814.580  (  12)[B4] {A4-A7V;A0-A9III;A0-G0Ib;A0-G0Ia}
FeI       3815.842  (  45)[B100r] {A5V-K)II;G0Ib-K0Ia}
HeI       3819.606  (  22)[D(1)] {O9V-B9Ia}
HeI       3819.761  (  22)[D(1)] {O9V-B9Ia}
FeI       3820.428  (  20)[I250R] {A0V-K5Ia}
FeI       3824.444  (   4)[B50r] {F0V-M2III;F0Iab-M2Ia}
FeII      3824.913  (  29)[A4] {A0-A7V}
FeI       3825.884  (  20)[B200R] {A0V-K5Ia}
FeII      3827.079  ( 153)[A4] {A4-A7V}
FeI       3827.825  (  45)[B75r] {F0-M2V;G5-K5III;F2-K3II;G0-K0Ib}
MgI       3829.3549 (   3)[A40] {A0V-K5Ia}
N II      3829.80   (  30)[C3] {B2-B9Ib}
MgI       3832.2996 (   3)[A80r*] {A0V-K5Ia}
MgI       3832.3037 (   3)[A80r*] {A0V-K5Ia}
FeI       3834.225  (  20)[B100r] {A0V-M2Iab}
H         3835.386  (   2)[A H9] {O9V-G8Ia}
MgI       3838.2918 (   3)[A100r*] {A0V-K5Ia}
MgI       3838.2943 (   3)[A100r*] {A0V-K5Ia}
FeI       3840.439  (  20)[B80r] {A0V-M2Ia}
FeI       3841.051  (  45)[B80r] {A0V-M2Ia}
FeI       3849.969  (  20)[B40] {A0V-M2Ia}
FeI       3850.820  (  22)[B12] {A0V-M2Iab}
FeI       3852.574  (  73)[I6] {F0-G5III}
SiII      3853.657  (   1)[A3] {B2V-F2Ia}
SiII      3856.021  (   1)[A8] {B2V-F2Ia}
FeI       3856.373  (   4)[B50r] {F0V-M2Iab}
FeI       3859.913  (   4)[B300R] {A0V-M2Ia}
SiII      3862.592  (   1)[A6] {B2V-F2Ia}
FeI       3865.526  (  20)[B30] {A0V-K2Iab}
HeI       3867.477  (  20)[D(2)] {O9V-B9Ia}
HeI       3867.631  (  20)[D(1)] {O9V-B9Ia}
CN        3871.            {G0-K5V;A0-G0IV;F2-K3II;G0-K2Ib}
FeI       3871.750  ( 429)[J4] {K0-K3II;G0-K2Ib}
HeI       3871.819  (  60)[D(1)] {O9V-B9Ia}
FeI       3872.504  (  20)[B60] {A0V-K5Ia}
CoI       3873.120  (  18)[A60] {K5-M2III}
FeI       3873.763  ( 175)[B8] {A0-A9III}
CoI       3873.953  (  18)[A40] {K5-M2III}
FeI       3876.043  (  22)[J4] {F5-F8V}
C II      3876.051  (  33)[A6] {O9-B1III}
C II      3876.188  (  33)[A8] {B2-B7IV;O9-B1III}
C II      3876.409  (  33)[A7] {B2-B7IV;O9-B1III}
FeI       3878.021  (  20)[B60] {F2V-K2Iab}
FeI       3878.575  (   4)[B100r] {A0V-K5Ia}
FeI       3886.284  (   4)[B40R] {G0V-M2Iab}
FeI       3887.051  (  20)[B15] {G0-K5V;K0-K3II;G0-K2Ib}
FeI       3888.517  (  45)[B20] {F6-G5V;F2-K3II;G0-K2Ib}
HeI       3888.646  (   2)[B(10)(7)(3)] {B2-B7IV}
FeI       3888.825  ( 488)[V3] {K0-K3II}
H         3889.051  (   2)[A H8] {O9V-K2Ia}
FeI       3893.391  ( 430)[I7] {G5-K5V;G0-K2Ib}
FeI       3895.658  (   4)[B25r] {A0V-K5Ia}
FeI       3899.709  (   4)[B30R] {F2V-M2Iab}
